ANDRE,0.076,male_first,ANDRE,ANDRE,ANDRE
ELMER,0.074,male_first,ELMER,ELMER,ELMER
BRAD,0.073,male_first,BRAD,BRAD,BRAD
GABRIEL,0.073,male_first,GABRIEL,GABRIEL,GABRIEL
RON,0.072,male_first,RON,RON,RON
MITCHELL,0.072,male_first,MITCHELL,MITCHELL,MITCHELL
ROLAND,0.072,male_first,ROLAND,ROLAND,ROLAND
ARNOLD,0.072,male_first,ARNOLD,ARNOLD,ARNOLD
HARVEY,0.072,male_first,HARVEY,HARVEY,HARVEY
JARED,0.071,male_first,JARED,JARED,JARED
ADRIAN,0.069,male_first,ADRIAN,ADRIAN,ADRIAN
KARL,0.069,male_first,KARL,KARL,KARL
CORY,0.068,male_first,CORY,CORY,CORY
CLAUDE,0.068,male_first,CLAUDE,CLAUDE,CLAUDE
ERIK,0.068,male_first,ERIK,ERIK,ERIK
DARRYL,0.067,male_first,DARRYL,DARRYL,DARRYL
JAMIE,0.066,male_first,JAMIE,JAMIE,JAMIE
NEIL,0.066,male_first,NEIL,NEIL,NEIL
JESSIE,0.065,male_first,JESSIE,JESSIE,JESSIE
CHRISTIAN,0.065,male_first,CHRISTIAN,CHRISTIAN,CHRISTIAN
JAVIER,0.065,male_first,JAVIER,JAVIER,JAVIER
FERNANDO,0.065,male_first,FERNANDO,FERNANDO,FERNANDO
CLINTON,0.065,male_first,CLINTON,CLINTON,CLINTON
TED,0.064,male_first,TED,TED,TED
MATHEW,0.064,male_first,MATHEW,MATHEW,MATHEW
TYRONE,0.064,male_first,TYRONE,TYRONE,TYRONE
DARREN,0.064,male_first,DARREN,DARREN,DARREN
LONNIE,0.064,male_first,LONNIE,LONNIE,LONNIE
LANCE,0.063,male_first,LANCE,LANCE,LANCE
CODY,0.063,male_first,CODY,CODY,CODY
JULIO,0.063,male_first,JULIO,JULIO,JULIO
KELLY,0.063,male_first,KELLY,KELLY,KELLY
KURT,0.062,male_first,KURT,KURT,KURT
ALLAN,0.061,male_first,ALLAN,ALLAN,ALLAN
NELSON,0.061,male_first,NELSON,NELSON,NELSON
GUY,0.06,male_first,GUY,GUY,GUY
CLAYTON,0.06,male_first,CLAYTON,CLAYTON,CLAYTON
HUGH,0.06,male_first,HUGH,HUGH,HUGH
MAX,0.059,male_first,MAX,MAX,MAX
DWAYNE,0.059,male_first,DWAYNE,DWAYNE,DWAYNE
DWIGHT,0.058,male_first,DWIGHT,DWIGHT,DWIGHT
ARMANDO,0.058,male_first,ARMANDO,ARMANDO,ARMANDO
FELIX,0.058,male_first,FELIX,FELIX,FELIX
JIMMIE,0.058,male_first,JIMMIE,JIMMIE,JIMMIE
EVERETT,0.057,male_first,EVERETT,EVERETT,EVERETT
JORDAN,0.056,male_first,JORDAN,JORDAN,JORDAN
IAN,0.056,male_first,IAN,IAN,IAN
WALLACE,0.056,male_first,WALLACE,WALLACE,WALLACE
KEN,0.055,male_first,KEN,KEN,KEN
BOB,0.055,male_first,BOB,BOB,BOB
JAIME,0.055,male_first,JAIME,JAIME,JAIME
CASEY,0.054,male_first,CASEY,CASEY,CASEY
ALFREDO,0.054,male_first,ALFREDO,ALFREDO,ALFREDO
ALBERTO,0.053,male_first,ALBERTO,ALBERTO,ALBERTO
DAVE,0.053,male_first,DAVE,DAVE,DAVE
IVAN,0.053,male_first,IVAN,IVAN,IVAN
JOHNNIE,0.052,male_first,JOHNNIE,JOHNNIE,JOHNNIE
SIDNEY,0.052,male_first,SIDNEY,SIDNEY,SIDNEY
BYRON,0.052,male_first,BYRON,BYRON,BYRON
JULIAN,0.052,male_first,JULIAN,JULIAN,JULIAN
ISAAC,0.051,male_first,ISAAC,ISAAC,ISAAC
MORRIS,0.051,male_first,MORRIS,MORRIS,MORRIS
CLIFTON,0.05,male_first,CLIFTON,CLIFTON,CLIFTON
WILLARD,0.05,male_first,WILLARD,WILLARD,WILLARD
DARYL,0.05,male_first,DARYL,DARYL,DARYL
ROSS,0.05,male_first,ROSS,ROSS,ROSS
VIRGIL,0.049,male_first,VIRGIL,VIRGIL,VIRGIL
ANDY,0.049,male_first,ANDY,ANDY,ANDY
MARSHALL,0.049,male_first,MARSHALL,MARSHALL,MARSHALL
SALVADOR,0.049,male_first,SALVADOR,SALVADOR,SALVADOR
PERRY,0.049,male_first,PERRY,PERRY,PERRY
KIRK,0.049,male_first,KIRK,KIRK,KIRK
SERGIO,0.049,male_first,SERGIO,SERGIO,SERGIO
MARION,0.048,male_first,MARION,MARION,MARION
TRACY,0.048,male_first,TRACY,TRACY,TRACY
SETH,0.048,male_first,SETH,SETH,SETH
KENT,0.048,male_first,KENT,KENT,KENT
TERRANCE,0.048,male_first,TERRANCE,TERRANCE,TERRANCE
RENE,0.048,male_first,RENE,RENE,RENE
EDUARDO,0.047,male_first,EDUARDO,EDUARDO,EDUARDO
TERRENCE,0.047,male_first,TERRENCE,TERRENCE,TERRENCE
ENRIQUE,0.046,male_first,ENRIQUE,ENRIQUE,ENRIQUE
FREDDIE,0.046,male_first,FREDDIE,FREDDIE,FREDDIE
WADE,0.045,male_first,WADE,WADE,WADE
AUSTIN,0.044,male_first,AUSTIN,AUSTIN,AUSTIN
STUART,0.044,male_first,STUART,STUART,STUART
FREDRICK,0.043,male_first,FREDRICK,FREDRICK,FREDRICK
ARTURO,0.043,male_first,ARTURO,ARTURO,ARTURO
ALEJANDRO,0.043,male_first,ALEJANDRO,ALEJANDRO,ALEJANDRO
JACKIE,0.043,male_first,JACKIE,JACKIE,JACKIE
JOEY,0.043,male_first,JOEY,JOEY,JOEY
NICK,0.043,male_first,NICK,NICK,NICK
LUTHER,0.043,male_first,LUTHER,LUTHER,LUTHER
WENDELL,0.042,male_first,WENDELL,WENDELL,WENDELL
JEREMIAH,0.042,male_first,JEREMIAH,JEREMIAH,JEREMIAH
EVAN,0.042,male_first,EVAN,EVAN,EVAN
JULIUS,0.042,male_first,JULIUS,JULIUS,JULIUS
DANA,0.042,male_first,DANA,DANA,DANA
DONNIE,0.041,male_first,DONNIE,DONNIE,DONNIE
OTIS,0.041,male_first,OTIS,OTIS,OTIS
SHANNON,0.04,male_first,SHANNON,SHANNON,SHANNON
TREVOR,0.04,male_first,TREVOR,TREVOR,TREVOR
OLIVER,0.04,male_first,OLIVER,OLIVER,OLIVER
LUKE,0.04,male_first,LUKE,LUKE,LUKE
HOMER,0.04,male_first,HOMER,HOMER,HOMER
GERARD,0.04,male_first,GERARD,GERARD,GERARD
DOUG,0.04,male_first,DOUG,DOUG,DOUG
KENNY,0.039,male_first,KENNY,KENNY,KENNY
HUBERT,0.039,male_first,HUBERT,HUBERT,HUBERT
ANGELO,0.039,male_first,ANGELO,ANGELO,ANGELO
SHAUN,0.039,male_first,SHAUN,SHAUN,SHAUN
